# 机械工程+具身智能相关数据（适配RAG检索，覆盖核心考点）

## 一、设备参数

1. 设备参数：夹爪相关——夹爪力范围5-50N，适配小型机械零件抓取；行程10-50mm，定位精度±0.1mm；payload（负载）最大2kg，适合轻型工件操作。
2. 设备参数：工业机械臂——关节行程±180°，重复定位精度±0.05mm，payload最大5kg，工作半径800mm。
3. 设备参数：六轴机械臂——额定负载3kg，最大工作半径650mm，重复定位精度±0.02mm，适用于精密装配场景。
4. 设备参数：协作机械臂——力控灵敏度0.1N，碰撞检测响应时间<50ms，适用于人机协作工位。
5. 设备参数：SCARA机械臂——水平重复精度±0.01mm，Z轴行程100mm，适合平面高速 pick-and-place。
6. 设备参数：并联机械臂——加速度可达10g，节拍时间<0.3s，适用于高速分拣。
7. 设备参数：气动夹爪——开合行程20-80mm，夹持力可调范围10-80N，响应时间<100ms。
8. 设备参数：伺服夹爪——闭环力控，力分辨率0.5N，适用于易碎件抓取。
9. 设备参数：柔性夹爪——适配不规则曲面，接触面积可调，适用于软体零件。
10. 设备参数：磁力吸盘——吸持力最大200N，断电保护，适用于薄板金属搬运。
11. 设备参数：真空吸盘——真空度可达-80kPa，适配光滑表面，硅胶吸盘耐磨。
12. 设备参数：末端执行器——可更换设计，支持夹爪、吸盘、焊枪等多种工具，快换接口标准化。

## 二、流程知识

13. 流程知识：机械臂标定流程——先进行关节零位标定，再通过激光定位校准末端执行器，最后进行负载标定，确保抓取精度；标定后需进行复位操作，复位至初始安全位置。
14. 流程知识：安全流程——抓取前检查夹爪松紧度，确认工件放置稳定，避免抓取过程中脱落；操作完成后，机械臂复位，关闭动力源，清理作业区域。
15. 流程知识：上电顺序——先接通控制柜电源，等待伺服就绪，再启动示教器，最后使能机械臂。
16. 流程知识：急停复位——按下急停后需顺时针旋转释放，确认工作区域无障碍物后，按复位键恢复运行。
17. 流程知识：轨迹规划——先示教关键点，再插值生成平滑轨迹，设置速度与加速度限制，仿真验证无误后执行。
18. 流程知识：抓取规划——识别工件姿态，计算抓取点与夹持力，生成接近-抓取-抬升-放置序列。
19. 流程知识：换产流程——备份当前程序，加载新程序，更换末端执行器，重新标定，试运行验证。
20. 流程知识：日常点检——检查润滑状态、紧固件、线缆、传感器，记录异常并报修。
21. 流程知识：月度保养——更换滤芯、检查减速器油位、校准力传感器、清理散热风扇。

## 三、物理先验知识

22. 物理先验知识：摩擦相关——抓取光滑金属零件时，需增大夹爪力（30-50N），避免因摩擦力不足导致工件滑落；抓取橡胶零件时，夹爪力控制在5-15N，防止零件变形。
23. 物理先验知识：稳定放置与抓取姿态——圆柱形工件优先采用对称抓取姿态，抓取点距工件两端1/3处，确保重心稳定；方形工件抓取四角，避免单侧受力不均。
24. 物理先验知识：薄壁件抓取——避免径向夹持导致变形，优先采用多点分散支撑或真空吸附。
25. 物理先验知识：重心偏移——抓取点应尽量靠近重心，避免搬运时产生力矩导致滑脱。
26. 物理先验知识：惯性影响——高速运动时增大夹持力余量，急停时注意工件惯性前冲。
27. 物理先验知识：热胀冷缩——高温环境零件尺寸变化，需在标定时考虑温度补偿。
28. 物理先验知识：静电防护——电子件抓取需防静电手腕，避免夹爪与敏感元件直接接触。

## 四、传感器与感知

29. 传感器：力传感器——安装在腕部，测量三维力/力矩，分辨率0.1N，用于柔顺控制与碰撞检测。
30. 传感器：视觉相机——安装在末端或固定工位，用于工件识别、定位、缺陷检测。
31. 传感器：激光位移传感器——非接触测距，精度±0.01mm，用于薄壁件厚度检测。
32. 传感器：光电开关——检测工件到位、夹爪开合状态，响应快、成本低。
33. 传感器：编码器——关节角反馈，多圈绝对值编码器保证断电不丢位置。
34. 传感器：扭矩传感器——检测关节负载，过载时触发保护停机。

## 五、坐标与运动

35. 坐标系统：基坐标系——以机械臂底座为原点，Z轴向上，用于描述机械臂在世界中的姿态。
36. 坐标系统：工具坐标系——以末端执行器中心为原点，随机械臂运动，用于精确放置。
37. 坐标系统：用户坐标系——可自定义，便于对特定工装或工作台编程。
38. 运动模式：关节空间——各关节独立运动，适合避障；笛卡尔空间——末端直线或圆弧，适合轨迹精控。
39. 运动模式：柔顺控制——力控模式下沿曲面滑动，适用于打磨、装配。
40. 运动模式：拖动示教——协作机械臂可人手拖动记录轨迹，降低编程门槛。

## 六、故障与维护

41. 故障排查：伺服报警——检查编码器连接、驱动器状态、过载原因，复位后慢速试运行。
42. 故障排查：夹爪不动作——检查气路/电路、电磁阀、限位开关，手动测试单步。
43. 故障排查：定位漂移——重新标定零位，检查传动间隙，温度稳定后复测。
44. 故障排查：碰撞后——检查各轴编码器、机械限位，慢速回零，校准工具坐标系。
45. 故障排查：通信中断——检查以太网线、控制器IP、防火墙，重启服务。
46. 维护要点：减速器——每2000小时换油，使用指定型号润滑油，避免混用。
47. 维护要点：导轨——定期涂抹锂基润滑脂，清除切屑与污物。
48. 维护要点：夹爪——清洁夹持面，检查密封圈，更换磨损衬垫。

## 七、具身智能与RAG

49. 具身智能关联：RAG检索需快速匹配上述数据，为具身智能机械臂提供实时操作依据，提升抓取、标定、复位的准确性。
50. 具身智能关联：任务规划——将自然语言指令（如"抓取红色零件放到左边"）解析为运动序列，结合RAG检索设备参数与物理约束。
51. 具身智能关联：异常处理——当传感器检测异常时，检索故障库匹配可能原因与处理步骤。
52. 具身智能关联：多机协作——多机械臂任务分配需考虑工作空间、payload、节拍，RAG可提供参数约束。
53. 具身智能关联：仿真验证——在数字孪生中验证轨迹与抓取策略，RAG提供真实设备参数用于仿真配置。
54. 具身智能关联：知识积累——将每次成功/失败的抓取记录入库，供后续相似任务检索参考。
